i,Volts,Ptorr
552,7.52,9.720e-01
553,7.53,9.818e-01
554,7.54,9.915e-01
555,7.55,1.001e+00
556,7.56,1.011e+00
557,7.57,1.021e+00
558,7.58,1.031e+00
559,7.59,1.040e+00
560,7.60,1.050e+00
561,7.61,1.060e+00
562,7.62,1.070e+00
563,7.63,1.080e+00
564,7.64,1.090e+00
565,7.65,1.100e+00
566,7.66,1.110e+00
567,7.67,1.120e+00
568,7.68,1.130e+00
569,7.69,1.140e+00
570,7.70,1.150e+00
571,7.71,1.160e+00
572,7.72,1.170e+00
573,7.73,1.180e+00
574,7.74,1.190e+00
575,7.75,1.200e+00
576,7.76,1.210e+00
577,7.77,1.220e+00
578,7.78,1.230e+00
579,7.79,1.240e+00
580,7.80,1.250e+00
581,7.81,1.259e+00
582,7.82,1.269e+00
583,7.83,1.279e+00
584,7.84,1.288e+00
585,7.85,1.297e+00
586,7.86,1.307e+00
587,7.87,1.317e+00
588,7.88,1.326e+00
589,7.89,1.335e+00
590,7.90,1.345e+00
591,7.91,1.355e+00
592,7.92,1.364e+00
593,7.93,1.373e+00
594,7.94,1.383e+00
595,7.95,1.393e+00
596,7.96,1.402e+00
597,7.97,1.411e+00
598,7.98,1.421e+00
599,7.99,1.431e+00
600,8.00,1.440e+00
601,8.01,1.457e+00
602,8.02,1.475e+00
603,8.03,1.493e+00
604,8.04,1.510e+00
605,8.05,1.528e+00
606,8.06,1.545e+00
607,8.07,1.563e+00
608,8.08,1.580e+00
609,8.09,1.598e+00
610,8.10,1.615e+00
611,8.11,1.632e+00
612,8.12,1.650e+00
613,8.13,1.667e+00
614,8.14,1.685e+00
615,8.15,1.703e+00
616,8.16,1.720e+00
617,8.17,1.738e+00
618,8.18,1.755e+00
619,8.19,1.773e+00
620,8.20,1.790e+00
621,8.21,1.811e+00
622,8.22,1.832e+00
623,8.23,1.853e+00
624,8.24,1.874e+00
625,8.25,1.895e+00
626,8.26,1.916e+00
627,8.27,1.937e+00
628,8.28,1.958e+00
629,8.29,1.979e+00
630,8.30,2.000e+00
631,8.31,2.021e+00
632,8.32,2.042e+00
633,8.33,2.063e+00
634,8.34,2.084e+00
635,8.35,2.105e+00
636,8.36,2.126e+00
637,8.37,2.147e+00
638,8.38,2.168e+00
639,8.39,2.189e+00
640,8.40,2.210e+00
641,8.41,2.231e+00
642,8.42,2.252e+00
643,8.43,2.273e+00
644,8.44,2.294e+00
645,8.45,2.315e+00
646,8.46,2.336e+00
647,8.47,2.357e+00
648,8.48,2.378e+00
649,8.49,2.399e+00
650,8.50,2.420e+00
651,8.51,2.441e+00
652,8.52,2.462e+00
653,8.53,2.483e+00
654,8.54,2.504e+00
655,8.55,2.525e+00
656,8.56,2.546e+00
657,8.57,2.567e+00
658,8.58,2.588e+00
659,8.59,2.609e+00
660,8.60,2.630e+00
661,8.61,2.655e+00
662,8.62,2.680e+00
663,8.63,2.705e+00
664,8.64,2.730e+00
665,8.65,2.755e+00
666,8.66,2.780e+00
667,8.67,2.805e+00
668,8.68,2.830e+00
669,8.69,2.855e+00
670,8.70,2.880e+00
671,8.71,2.905e+00
672,8.72,2.930e+00
673,8.73,2.955e+00
674,8.74,2.980e+00
675,8.75,3.005e+00
676,8.76,3.030e+00
677,8.77,3.055e+00
678,8.78,3.080e+00
679,8.79,3.105e+00
680,8.80,3.130e+00
681,8.81,3.176e+00
682,8.82,3.222e+00
683,8.83,3.268e+00
684,8.84,3.314e+00
685,8.85,3.360e+00
686,8.86,3.406e+00
687,8.87,3.452e+00
688,8.88,3.498e+00
689,8.89,3.544e+00
690,8.90,3.590e+00
691,8.91,3.636e+00
692,8.92,3.682e+00
693,8.93,3.728e+00
694,8.94,3.774e+00
695,8.95,3.820e+00
696,8.96,3.866e+00
697,8.97,3.912e+00
698,8.98,3.958e+00
699,8.99,4.004e+00
700,9.00,4.050e+00
701,9.01,4.112e+00
702,9.02,4.175e+00
703,9.03,4.238e+00
704,9.04,4.300e+00
705,9.05,4.363e+00
706,9.06,4.425e+00
707,9.07,4.488e+00
708,9.08,4.550e+00
709,9.09,4.613e+00
710,9.10,4.675e+00
711,9.11,4.737e+00
712,9.12,4.800e+00
713,9.13,4.862e+00
714,9.14,4.925e+00
715,9.15,4.988e+00
716,9.16,5.050e+00
717,9.17,5.113e+00
718,9.18,5.175e+00
719,9.19,5.238e+00
720,9.20,5.300e+00
721,9.21,5.399e+00
722,9.22,5.497e+00
723,9.23,5.596e+00
724,9.24,5.694e+00
725,9.25,5.793e+00
726,9.26,5.891e+00
727,9.27,5.989e+00
728,9.28,6.088e+00
729,9.29,6.186e+00
730,9.30,6.285e+00
731,9.31,6.383e+00
732,9.32,6.482e+00
733,9.33,6.581e+00
734,9.34,6.679e+00
735,9.35,6.777e+00
736,9.36,6.876e+00
737,9.37,6.975e+00
738,9.38,7.073e+00
739,9.39,7.172e+00
740,9.40,7.270e+00
741,9.41,7.511e+00
742,9.42,7.752e+00
743,9.43,7.993e+00
744,9.44,8.234e+00
745,9.45,8.475e+00
746,9.46,8.716e+00
747,9.47,8.957e+00
748,9.48,9.198e+00
749,9.49,9.439e+00
750,9.50,9.680e+00
751,9.51,9.952e+00
752,9.52,1.022e+01
753,9.53,1.050e+01
754,9.54,1.077e+01
755,9.55,1.104e+01
756,9.56,1.131e+01
757,9.57,1.158e+01
758,9.58,1.186e+01
759,9.59,1.213e+01
760,9.60,1.240e+01
761,9.61,1.271e+01
762,9.62,1.302e+01
763,9.63,1.333e+01
764,9.64,1.364e+01
765,9.65,1.395e+01
766,9.66,1.426e+01
767,9.67,1.457e+01
768,9.68,1.488e+01
769,9.69,1.519e+01
770,9.70,1.550e+01
771,9.71,1.649e+01
772,9.72,1.748e+01
773,9.73,1.847e+01
774,9.74,1.946e+01
775,9.75,2.045e+01
776,9.76,2.144e+01
777,9.77,2.243e+01
778,9.78,2.342e+01
779,9.79,2.441e+01
780,9.80,2.540e+01
781,9.81,2.760e+01
782,9.82,2.980e+01
783,9.83,3.200e+01
784,9.84,3.420e+01
785,9.85,3.640e+01
786,9.86,3.860e+01
787,9.87,4.080e+01
788,9.88,4.300e+01
789,9.89,4.520e+01
790,9.90,4.740e+01
791,9.91,5.952e+01
792,9.92,7.164e+01
793,9.93,8.376e+01
794,9.94,9.588e+01
795,9.95,1.080e+02
796,9.96,2.364e+02
797,9.97,3.648e+02
798,9.98,4.932e+02
799,9.99,6.216e+02
800,10.00,7.500e+02
